Altium Designer Pick and Place Locations
F:\数字buck\digital_buck\DSP_Control\DSP-Control\Project Outputs for DSP-Control\Pick Place for DSP_Control.csv

========================================================================================================================
File Design Information:

Date:       16/08/26
Time:       13:54
Revision:   8fe15982f9096e6a8758c957aab4371c4b6384d5
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"TP167","TEST POINT","TopLayer","TP-1.5","51.5650","22.3570","90",""
"TP166","TEST POINT","TopLayer","TP-1.5","47.5010","23.5000","90",""
"TP164","TEST POINT","TopLayer","TP-1.5","33.5310","17.4040","90",""
"TP162","TEST POINT","TopLayer","TP-1.5","48.6440","28.4530","90",""
"TP161","TEST POINT","TopLayer","TP-1.5","23.8790","45.8520","90",""
"TP160","TEST POINT","TopLayer","TP-1.5","39.7540","18.5470","90",""
"TP159","TP-pad0.8","TopLayer","PAD0.8/1.6","48.1360","36.3270","90",""
"TP158","TP-pad0.8","TopLayer","PAD0.8/1.6","49.5330","23.5000","90",""
"TP157","TP-pad0.8","TopLayer","PAD0.8/1.6","33.2770","15.3720","90",""
"Y2","20M","TopLayer","CRYSTAL-SMD_4P-L3.2-W2.5-BL-2","25.3545","29.8220","270","20M,X322520MSB4SI,扬兴,SMD3225-4P,常温频差:±10ppm;负载电容:20pF;频率稳定度:±20ppm;"
"A4","PAD-3.2/6.0","TopLayer","PAD-3.2/6.0","0.0000","0.0000","0",""
"A3","PAD-3.2/6.0","TopLayer","PAD-3.2/6.0","0.0000","60.0000","0",""
"A2","PAD-3.2/6.0","TopLayer","PAD-3.2/6.0","90.0500","60.0000","0",""
"A1","PAD-3.2/6.0","TopLayer","PAD-3.2/6.0","90.0500","0.0000","0",""
"USB1","type-c 16p cb1.6 073","TopLayer","USB-C-SMD_SHOU_TYPE-C-16P-CB1.6","1.8283","11.9723","270","连接器类型:Type-C;协议标准:USB 3.1;公母:母;安装方式:沉板;触点数量:16P;端口数量:1;额定电流 - 电源:3A;工作温度:-25℃~+85℃;"
"J3","db125-3.81-4p-gn-s","TopLayer","CONN-TH_DB125-3.81-4P","0.6840","26.8300","90","结构:1x4P;间距:3.81mm;颜色:绿色;安装方式:直插;排数:1;每排PIN数:4;额定电流:10A;额定电压:300V;线规 - AWG:16~26;线规 - 平方毫米:1;工作温度:-40℃~+105℃;"
"U4","tcan3413dr","TopLayer","SOP-8_L4.9-W3.9-P1.27-LS6.0-BL-1","15.4160","20.0990","90","类型:CAN-FD收发器;数据速率:5Mbps;"
"U3","24lc64t-i/sn","TopLayer","SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL","51.6110","9.0487","0","接口类型:I2C;存储容量:64Kbit;时钟频率(fc):400kHz;"
"U2","tps62130rgtr","TopLayer","QFN-16_L3.0-W3.0-P0.50-TL-EP1.7","68.7087","26.6229","270","功能类型:降压型;工作电压:3V~17V;输出电压:900mV~6V;输出电流:3A;输出类型:可调;"
"TV2","pesd1can,215","TopLayer","SOT-23_L2.9-W1.3-P1.90-LS2.4-BR","7.6243","19.9440","180","极性:双向;反向截止电压(Vrwm):24V;钳位电压:70V;峰值脉冲电流(Ipp):3A@8/20us;峰值脉冲功率(Ppp):200W@8/20us;击穿电压(VBR):27.8V;"
"TV1","smbj15a_c83846","TopLayer","SMB_L4.6-W3.6-LS5.3-RD","64.1380","8.0073","90","极性:单向;反向截止电压(Vrwm):15V;钳位电压:24.4V;峰值脉冲电流(Ipp):24.6A;峰值脉冲功率(Ppp):600W;击穿电压(VBR):16.7V;"
"TP155","TP-pad0.8","TopLayer","PAD0.8/1.6","15.8780","-1.6460","90",""
"TP154","TEST POINT","TopLayer","TP-1.5","6.8610","7.1170","90",""
"TP153","TP-pad0.8","TopLayer","PAD0.8/1.6","60.7090","3.4340","90",""
"TP152","TEST POINT","TopLayer","TP-1.5","17.5290","6.3550","90",""
"TP151","TEST POINT","TopLayer","TP-1.5","32.5150","5.3390","90",""
"TP150","TEST POINT","TopLayer","TP-1.5","30.4830","15.2450","90",""
"TP149","TEST POINT","TopLayer","TP-1.5","28.3240","15.2450","90",""
"TP148","TEST POINT","TopLayer","TP-1.5","26.1650","15.2450","90",""
"TP147","TEST POINT","TopLayer","TP-1.5","24.0060","15.2450","90",""
"TP146","TEST POINT","TopLayer","TP-1.5","21.8470","15.2450","90",""
"TP145","TEST POINT","TopLayer","TP-1.5","19.6880","15.2450","90",""
"TP144","TEST POINT","TopLayer","TP-1.5","17.5290","15.2450","90",""
"TP135","TEST POINT","TopLayer","TP-1.5","64.3920","35.0570","90",""
"TP134","TEST POINT","TopLayer","TP-1.5","73.9170","30.6120","90",""
"TP133","TEST POINT","TopLayer","TP-1.5","64.9000","27.5640","90",""
"TP132","TEST POINT","TopLayer","TP-1.5","66.1700","22.8650","90",""
"TP131","TEST POINT","TopLayer","TP-1.5","73.2820","20.1980","90",""
"TP129","TEST POINT","TopLayer","TP-1.5","77.3460","4.9580","90",""
"TP128","TEST POINT","TopLayer","TP-1.5","63.8840","20.4520","90",""
"TP127","TEST POINT","TopLayer","TP-1.5","12.1950","8.1330","90",""
"TP125","TEST POINT","TopLayer","TP-1.5","19.0530","39.5020","90",""
"TP124","TEST POINT","TopLayer","TP-1.5","19.0530","41.5340","90",""
"TP123","TEST POINT","TopLayer","TP-1.5","26.5460","40.5180","90",""
"TP122","TEST POINT","TopLayer","TP-1.5","28.5780","40.5180","90",""
"TP120","TEST POINT","TopLayer","TP-1.5","37.7220","39.1210","90",""
"TP119","TEST POINT","TopLayer","TP-1.5","32.7690","38.7400","90",""
"TP118","TEST POINT","TopLayer","TP-1.5","30.7370","39.8830","90",""
"TP117","TEST POINT","TopLayer","TP-1.5","77.9810","10.0380","90",""
"TP110","TP-pad0.8","TopLayer","PAD0.8/1.6","85.0930","12.5780","90",""
"TP109","TP-pad0.8","TopLayer","PAD0.8/1.6","85.0930","15.1180","90",""
"TP108","TP-pad0.8","TopLayer","PAD0.8/1.6","85.0930","22.7380","90",""
"TP107","TP-pad0.8","TopLayer","PAD0.8/1.6","85.0930","25.2780","90",""
"TP106","TP-pad0.8","TopLayer","PAD0.8/1.6","85.0930","20.1980","90",""
"TP105","TP-pad0.8","TopLayer","PAD0.8/1.6","85.0930","17.6580","90",""
"TP104","TP-pad0.8","TopLayer","PAD0.8/1.6","85.2200","7.4980","90",""
"TP103","TEST POINT","TopLayer","TP-1.5","26.9270","20.5790","90",""
"TP102","TEST POINT","TopLayer","TP-1.5","24.7680","21.0870","90",""
"TP100","TEST POINT","TopLayer","TP-1.5","46.4850","15.4990","90",""
"TP99","TEST POINT","TopLayer","TP-1.5","5.7180","22.4840","90",""
"TP98","TEST POINT","TopLayer","TP-1.5","6.4800","17.2770","90",""
"TP97","TP-pad0.8","TopLayer","PAD0.8/1.6","9.2740","15.7530","90",""
"TP93","TEST POINT","TopLayer","TP-1.5","76.4570","20.1980","90",""
"TP57","TEST POINT","TopLayer","TP-1.5","8.3850","32.6440","90",""
"TP56","TEST POINT","TopLayer","TP-1.5","74.0440","34.6760","90",""
"TP55","TEST POINT","TopLayer","TP-1.5","54.4860","18.5470","90",""
"TP54","TEST POINT","TopLayer","TP-1.5","53.5970","16.5150","90",""
"TP51","TP-pad0.8","TopLayer","PAD0.8/1.6","60.6280","37.7520","90",""
"TP50","TP-pad0.8","TopLayer","PAD0.8/1.6","60.6280","34.7040","90",""
